city,year,pop,%change
San Jose,1850,3500,
Dallas,1850,,
Indianapolis,1850,8091,
Los Angeles,1850,1610,
New York,1850,696115,
,,,
Phoenix,1850,,
San Antonio,1850,3488,
San Diego,1850,500,
San Francisco,1850,25000,
Baltimore,1850,169054,
Boston,1850,136881,
Buffalo,1850,42261,
Chicago,1850,29963,
Cincinnati,1850,115435,
Cleveland,1850,17034,
Detroit,1850,21019,
Milwaukee,1850,20061,
Philadelphia,1850,121376,
St. Louis,1850,77860,
San Jose,1860,4579,
Dallas,1860,678,
Indianapolis,1860,18611,
Los Angeles,1860,4385,
New York,1860,1174779,
,,,
Phoenix,1860,,
San Antonio,1860,8235,
San Diego,1860,731,
San Francisco,1860,56802,
Baltimore,1860,212418,
Boston,1860,177840,
Buffalo,1860,81129,
Chicago,1860,112172,
Cincinnati,1860,161044,
Cleveland,1860,43417,
Detroit,1860,45619,
Milwaukee,1860,45246,
Philadelphia,1860,565529,
St. Louis,1860,160773,
San Jose,1870,9089,
Dallas,1870,3000,
Indianapolis,1870,48244,
Los Angeles,1870,5728,
New York,1870,1478103,
,,,
Phoenix,1870,240,
San Antonio,1870,12256,
San Diego,1870,2300,
San Francisco,1870,149473,
Baltimore,1870,267354,
Boston,1870,250526,
Buffalo,1870,117714,
Chicago,1870,298977,
Cincinnati,1870,216239,
Cleveland,1870,92829,
Detroit,1870,79577,
Milwaukee,1870,71440,
Philadelphia,1870,674022,
St. Louis,1870,310864,
San Jose,1880,12567,
Dallas,1880,10358,
Indianapolis,1880,75056,
Los Angeles,1880,11183,
New York,1880,1911689,
Ft. Worth,1880,34555,
Phoenix,1880,1708,
San Antonio,1880,20550,
San Diego,1880,2637,
San Francisco,1880,233959,
Baltimore,1880,332313,
Boston,1880,362839,
Buffalo,1880,155134,
Chicago,1880,503185,
Cincinnati,1880,255139,
Cleveland,1880,160146,
Detroit,1880,116340,
Milwaukee,1880,115587,
Philadelphia,1880,847170,
St. Louis,1880,350518,
San Jose,1890,18060,
Dallas,1890,38067,
Indianapolis,1890,105436,
Los Angeles,1890,50395,
New York,1890,2507414,
Ft. Worth,1890,23076,
Phoenix,1890,3152,
San Antonio,1890,37673,
San Diego,1890,16159,
San Francisco,1890,298997,
Baltimore,1890,434439,
Boston,1890,448477,
Buffalo,1890,255664,
Chicago,1890,1099850,
Cincinnati,1890,296908,
Cleveland,1890,261353,
Detroit,1890,205877,
Milwaukee,1890,204468,
Philadelphia,1890,1046964,
St. Louis,1890,451770,
San Jose,1900,21500,
Dallas,1900,42639,
Indianapolis,1900,169164,
Los Angeles,1900,102479,
New York,1900,3437202,
Ft. Worth,1900,26668,
Phoenix,1900,5544,
San Antonio,1900,53321,
San Diego,1900,17700,
San Francisco,1900,342782,
Baltimore,1900,508957,
Boston,1900,560892,
Buffalo,1900,352387,
Chicago,1900,1698575,
Cincinnati,1900,325902,
Cleveland,1900,381768,
Detroit,1900,285704,
Milwaukee,1900,285315,
Philadelphia,1900,1293697,
St. Louis,1900,575238,
San Jose,1910,28946,
Dallas,1910,92104,
Indianapolis,1910,233650,
Los Angeles,1910,319198,
New York,1910,4766883,
Ft. Worth,1910,73312,
Phoenix,1910,11314,
San Antonio,1910,96614,
San Diego,1910,39578,
San Francisco,1910,416912,
Baltimore,1910,558485,
Boston,1910,670585,
Buffalo,1910,423715,
Chicago,1910,2185283,
Cincinnati,1910,363591,
Cleveland,1910,560663,
Detroit,1910,465766,
Milwaukee,1910,373857,
Philadelphia,1910,1549008,
St. Louis,1910,687029,
San Jose,1920,39642,
Dallas,1920,158976,
Indianapolis,1920,314194,
Los Angeles,1920,579673,
New York,1920,5620048,
Ft. Worth,1920,106482,
Phoenix,1920,29053,
San Antonio,1920,161379,
San Diego,1920,74361,
San Francisco,1920,506676,
Baltimore,1920,733826,
Boston,1920,748060,
Buffalo,1920,506775,
Chicago,1920,2701705,
Cincinnati,1920,401247,
Cleveland,1920,796841,
Detroit,1920,993678,
Milwaukee,1920,457147,
Philadelphia,1920,1823779,
St. Louis,1920,772897,
San Jose,1930,57651,
Dallas,1930,260475,
Indianapolis,1930,364161,
Los Angeles,1930,1238048,
New York,1930,6930446,
Ft. Worth,1930,163447,
Phoenix,1930,48118,
San Antonio,1930,231542,
San Diego,1930,147995,
San Francisco,1930,634394,
Baltimore,1930,804874,
Boston,1930,781188,
Buffalo,1930,573076,
Chicago,1930,3376438,
Cincinnati,1930,451160,
Cleveland,1930,900429,
Detroit,1930,1568662,
Milwaukee,1930,578249,
Philadelphia,1930,1950961,
St. Louis,1930,821960,
San Jose,1940,68457,
Dallas,1940,294734,
Indianapolis,1940,386972,
Los Angeles,1940,1504277,
New York,1940,7454995,
Ft. Worth,1940,177662,
Phoenix,1940,65414,
San Antonio,1940,253854,
San Diego,1940,203341,
San Francisco,1940,634536,
Baltimore,1940,859100,
Boston,1940,770816,
Buffalo,1940,575901,
Chicago,1940,3396808,
Cincinnati,1940,455610,
Cleveland,1940,878336,
Detroit,1940,1623452,
Milwaukee,1940,587472,
Philadelphia,1940,1931334,
St. Louis,1940,816048,
San Jose,1950,95280,
Dallas,1950,434462,
Indianapolis,1950,427173,
Los Angeles,1950,1970358,
New York,1950,7891957,
Ft. Worth,1950,278778,
Phoenix,1950,106818,
San Antonio,1950,408442,
San Diego,1950,333865,
San Francisco,1950,775357,
Baltimore,1950,949708,
Boston,1950,801444,
Buffalo,1950,580132,
Chicago,1950,3620962,
Cincinnati,1950,503998,
Cleveland,1950,914808,
Detroit,1950,1849568,
Milwaukee,1950,741324,
Philadelphia,1950,2071605,
St. Louis,1950,856796,
San Jose,1960,204196,
Dallas,1960,679684,
Indianapolis,1960,476258,
Los Angeles,1960,2479015,
New York,1960,7781984,
Ft. Worth,1960,356268,
Phoenix,1960,439170,
San Antonio,1960,587718,
San Diego,1960,573224,
San Francisco,1960,740316,
Baltimore,1960,939024,
Boston,1960,697197,
Buffalo,1960,532759,
Chicago,1960,3550404,
Cincinnati,1960,502550,
Cleveland,1960,876050,
Detroit,1960,1670144,
Milwaukee,1960,741324,
Philadelphia,1960,2002512,
St. Louis,1960,750026,
San Jose,1970,459913,
Dallas,1970,844401,
Indianapolis,1970,744624,
Los Angeles,1970,2816061,
New York,1970,7894862,
Ft. Worth,1970,393476,
Phoenix,1970,581572,
San Antonio,1970,654153,
San Diego,1970,696796,
San Francisco,1970,715674,
Baltimore,1970,905759,
Boston,1970,641071,
Buffalo,1970,462768,
Chicago,1970,3366957,
Cincinnati,1970,452525,
Cleveland,1970,750903,
Detroit,1970,1514063,
Milwaukee,1970,717099,
Philadelphia,1970,1948609,
St. Louis,1970,622236,
San Jose,1980,629442,
Dallas,1980,904078,
Indianapolis,1980,700807,
Los Angeles,1980,2966850,
New York,1980,7071639,
Ft. Worth,1980,385164,
Phoenix,1980,789704,
San Antonio,1980,785940,
San Diego,1980,875538,
San Francisco,1980,678974,
Baltimore,1980,786775,
Boston,1980,562994,
Buffalo,1980,357870,
Chicago,1980,3005072,
Cincinnati,1980,385460,
Cleveland,1980,573822,
Detroit,1980,1203368,
Milwaukee,1980,636212,
Philadelphia,1980,1688210,
St. Louis,1980,452801,
San Jose,1990,782248,
Dallas,1990,1006877,
Indianapolis,1990,731327,
Los Angeles,1990,3485398,
New York,1990,7322564,
Ft. Worth,1990,447619,
Phoenix,1990,983403,
San Antonio,1990,935933,
San Diego,1990,1110549,
San Francisco,1990,723959,
Baltimore,1990,736014,
Boston,1990,574283,
Buffalo,1990,328123,
Chicago,1990,2783726,
Cincinnati,1990,364040,
Cleveland,1990,505616,
Detroit,1990,1027974,
Milwaukee,1990,628088,
Philadelphia,1990,1585577,
St. Louis,1990,396685,
San Jose,2000,894943,
Dallas,2000,1188580,
Indianapolis,2000,781926,
Los Angeles,2000,3694820,
New York,2000,8008288,
Ft. Worth,2000,534697,
Phoenix,2000,1321045,
San Antonio,2000,1144646,
San Diego,2000,1223400,
San Francisco,2000,776733,
Baltimore,2000,651150,
Boston,2000,589141,
Buffalo,2000,292648,
Chicago,2000,2896016,
Cincinnati,2000,331285,
Cleveland,2000,478403,
Detroit,2000,951270,
Milwaukee,2000,596974,
Philadelphia,2000,1517550,
St. Louis,2000,348189,
San Jose,2010,945942,
Dallas,2010,1197816,
